state_hiu,Notes1,dia,coder1_date ,lat_long_src_id,apprv_date ,coder2_date ,mil_use,site_cat,site_sgnf,FID_OLD,hist_affl,coder1,Notes2,KHChanges,formal_name,nga,cat_code_old,cultrl_affl_1,geo_src,Governorate,name_src,sit_prec,source_id,Religion,PennContai,Ethnicity,PlyContain,PtContaine,Language,apprv,lat,aaas,long,cultrl_affl_2,osm,coder2,Hst 2,OBJECTID_OLD,Hst 1,state_affl,nearest_neighbor,nearest_neighbor_distance
, ,,31-Aug-2016,760SY0012,,,,Museum,,2667,M002,SRW001,1, ,Hama National Museum,,8,M010,Penn,,Penn,,AAASSYR02668,Islamic,0,Arab,0,0,Arabic,,35.1400889995,1,36.7541439997,,,,Modern - Ba'thist Republic of Syria,2668,Early Modern – Jalili Period,,DIASYR0130,0.000196
, ,,31-Aug-2016,150145663,,,,Religious Site,,118,M002,SRW001,1, ,Al Atassi Mosque,,9,M010,OSM_Polygon,,OSM_Polygon,,AAASSYR00119,Islam ,0,Arab,0,0,Arabic,,34.7232708498,1,36.7120243999,,1,,,119,Early Modern – Jalili Period ,,NGASYR0173,0.010988
, ,,31-Aug-2016,1839847706,,,,Religious Site,,1531,M002,SRW001,1, ,Aleppo al-Sahibiye (al-Fustuq) Madrasa and Mosque,,9,M010,OSM_Points,,OSM_Points,,AAASSYR01532,Islamic,1,Arab,0,0,Arabic,,36.1996854001,1,37.1585323002,,1,,Medieval – Islamic – Mamluks,1532,Early Modern – Ottoman Empire,,OSM1839847706,0.000000
, ,,31-Aug-2016,760PCHC935,,,,Religious Site,,2708,M002,SRW001,1, ,Damascus Mosque al-Mu'allaq and Madrasa Sibaiye/ Darwishieh Mosque,,9,M010,Penn,,Penn,,AAASSYR02709,Islamic,0,Arab,0,0,Arabic,,33.5084719997,1,36.3010189996,,,,Modern –Ba’thist Republic of Syria,2709,Early Modern – Ottoman Empire,,SHIUSYR0477,0.000000
, ,,31-Aug-2016,203436263,,,,Religious Site,,228,M002,SRW001,0, ,Aleppo Mosque al-Bahramiya,,9,M010,OSM_Polygon,Aleppo,Penn,,AAASSYR00229,Islam,1,Arab,0,0,Arabic,,36.19821625,1,37.1546458,,,,,229,Early Modern – Ottoman Empire,,NGASYR0909,0.006563
, ,,31-Aug-2016,207088570,,,,Religious Site,,631,M002,SRW001,1, ,Abo Baker,,9,M016,OSM_Polygon,,OSM_Polygon,,AAASSYR00632,Sufi,0,Arab,0,0,Arabic,,36.4114986996,1,37.5807016998,,1,,,632,Early Modern – Ottoman Empire,,AAASSYR00621,2.560261
, ,,31-Aug-2016,203435709,,,,Religious Site,,223,M002,SRW001,0, ,Aleppo Zawiya al-Hilaliya (Hilaliyya Zaiya),,9,M016,OSM_Polygon,Aleppo,Penn,,AAASSYR00224,Sufi,1,Arab /Kurds?,0,0,Arabic/Kurdish?,,36.19631,1,37.1543374,,,,,224,Early Modern – Ottoman Empire,,DIASYR0294,0.002561
,,,31-Aug-2016,203515201,,,,Religious Site,,11,MD02,SRW001,1, ,Al Huda Masjed,,9,M014,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00012,Sunni,0,Arab,1,0,Arabic,,36.1932805998,1,37.1233799001,,1,,,12,Early Modern – Ottoman Empire,,AAASSYR01365,0.322347
, ,,31-Aug-2016,760PCHC950,,,,Monument,,3176,M002,SRW001,1, ,Damascus Mausoleum Dubajiye,,7,M014,Penn,,Penn,,AAASSYR03177,Sunni,0,Arab,0,0,Arabic,,33.5310919999,1,36.2896469995,,,,,3177,Early Modern – Ottoman Empire,,SHIUSYR0495,0.000000
, ,,31-Aug-2016,760PCHC949,,,,Monument,,3178,M002,SRW001,1, ,Damascus Mausoleum Darwish Pasha,,7,M014,Penn,,Penn,,AAASSYR03179,Sunni,0,Arab,0,0,Arabic,,33.5092309998,1,36.3005750003,,,,,3179,Early Modern – Ottoman Empire,,SHIUSYR0494,0.000000
